,Model,Data,precision,recall,f1-score,support
Faces,plain_model,Train,0.7190721649484536,0.9207920792079208,0.8075253256150506,303.0
Faces_easy,plain_model,Train,0.9761092150170648,0.9377049180327869,0.9565217391304348,305.0
Leopards,plain_model,Train,0.6432432432432432,0.8814814814814815,0.74375,135.0
Motorbikes,plain_model,Train,0.8088235294117647,0.9945750452079566,0.8921330089213301,553.0
accordion,plain_model,Train,0.9583333333333334,0.6216216216216216,0.7540983606557377,37.0
airplanes,plain_model,Train,0.9010416666666666,0.9185840707964602,0.9097283085013146,565.0
anchor,plain_model,Train,0.52,0.43333333333333335,0.4727272727272727,30.0
ant,plain_model,Train,0.21739130434782608,0.16129032258064516,0.18518518518518517,31.0
barrel,plain_model,Train,0.125,0.03125,0.05,32.0
bass,plain_model,Train,0.5833333333333334,0.358974358974359,0.4444444444444444,39.0
beaver,plain_model,Train,0.6666666666666666,0.125,0.21052631578947367,32.0
binocular,plain_model,Train,0.6666666666666666,0.5555555555555556,0.6060606060606061,18.0
bonsai,plain_model,Train,0.6116504854368932,0.6702127659574468,0.6395939086294417,94.0
brain,plain_model,Train,0.4647887323943662,0.4925373134328358,0.4782608695652174,67.0
brontosaurus,plain_model,Train,0.6470588235294118,0.3793103448275862,0.4782608695652174,29.0
buddha,plain_model,Train,0.3013698630136986,0.6875,0.41904761904761906,64.0
butterfly,plain_model,Train,0.8387096774193549,0.4642857142857143,0.5977011494252874,56.0
camera,plain_model,Train,0.8888888888888888,0.5853658536585366,0.7058823529411765,41.0
cannon,plain_model,Train,0.5714285714285714,0.125,0.20512820512820512,32.0
car_side,plain_model,Train,0.8488372093023255,0.7849462365591398,0.8156424581005587,93.0
ceiling_fan,plain_model,Train,0.5625,0.3103448275862069,0.4,29.0
cellphone,plain_model,Train,0.7058823529411765,0.631578947368421,0.6666666666666666,38.0
chair,plain_model,Train,0.5652173913043478,0.3023255813953488,0.3939393939393939,43.0
chandelier,plain_model,Train,0.74,0.4868421052631579,0.5873015873015873,76.0
cougar_body,plain_model,Train,0.3333333333333333,0.5151515151515151,0.40476190476190477,33.0
cougar_face,plain_model,Train,0.6521739130434783,0.5882352941176471,0.6185567010309279,51.0
crab,plain_model,Train,0.8,0.21818181818181817,0.34285714285714286,55.0
crayfish,plain_model,Train,0.574468085106383,0.5869565217391305,0.5806451612903226,46.0
crocodile,plain_model,Train,0.36666666666666664,0.28205128205128205,0.3188405797101449,39.0
crocodile_head,plain_model,Train,0.6666666666666666,0.17142857142857143,0.2727272727272727,35.0
cup,plain_model,Train,0.8333333333333334,0.125,0.21739130434782608,40.0
dalmatian,plain_model,Train,0.8181818181818182,0.5294117647058824,0.6428571428571429,51.0
dollar_bill,plain_model,Train,0.84375,0.75,0.7941176470588235,36.0
dolphin,plain_model,Train,0.41975308641975306,0.6538461538461539,0.5112781954887218,52.0
dragonfly,plain_model,Train,0.5490196078431373,0.5957446808510638,0.5714285714285714,47.0
electric_guitar,plain_model,Train,0.38095238095238093,0.6956521739130435,0.49230769230769234,46.0
elephant,plain_model,Train,0.5609756097560976,0.5348837209302325,0.5476190476190477,43.0
emu,plain_model,Train,0.4583333333333333,0.3055555555555556,0.36666666666666664,36.0
euphonium,plain_model,Train,0.8055555555555556,0.6444444444444445,0.7160493827160493,45.0
ewer,plain_model,Train,0.696969696969697,0.34328358208955223,0.46,67.0
ferry,plain_model,Train,0.7419354838709677,0.5111111111111111,0.6052631578947368,45.0
flamingo,plain_model,Train,0.2619047619047619,0.4888888888888889,0.34108527131782945,45.0
flamingo_head,plain_model,Train,0.35555555555555557,0.5,0.4155844155844156,32.0
garfield,plain_model,Train,0.9375,0.6818181818181818,0.7894736842105263,22.0
gerenuk,plain_model,Train,0.5,0.1111111111111111,0.18181818181818182,27.0
gramophone,plain_model,Train,0.8235294117647058,0.3783783783783784,0.5185185185185185,37.0
grand_piano,plain_model,Train,0.8870967741935484,0.8088235294117647,0.8461538461538461,68.0
